complaint_id,order_id,complaint_text,severity,resolution_type
CMP-00042,ORD-00930,Order ORD-00930 product has a scratch on the screen. It's supposed to be brand new.,medium,exchange_initiated
CMP-00043,ORD-01050,I paid for express shipping on order ORD-01050 but it's being shipped standard. Need correction.,medium,partial_refund
CMP-00044,ORD-01160,FRAUD ALERT: Order ORD-01160 was delivered to wrong address and signed by unknown person. Need investigation.,high,escalated_to_manager
CMP-00045,ORD-00679,Order ORD-00679 - I've called 5 times about my missing package. Each time told to wait. I want my money back NOW.,high,investigation_opened
CMP-00046,ORD-00863,Order ORD-00863 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,replacement_sent
CMP-00047,ORD-00723,Delivery for ORD-00723 was left at the doorstep without notification. Please improve this.,low,apology_email
CMP-00048,ORD-00604,Order ORD-00604 has been lost by the carrier and nobody takes responsibility. 15 days and counting!,high,escalated_to_manager
CMP-00049,ORD-00593,Order ORD-00593 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,partial_refund
CMP-00050,ORD-00344,URGENT: Order ORD-00344 was supposed to be a gift. It's 2 weeks late and the occasion has passed. Full refund.,high,escalated_to_manager
CMP-00051,ORD-00073,The packaging for order ORD-00073 was slightly damaged but the product inside is okay.,low,no_action
CMP-00052,ORD-00623,Order ORD-00623 has been lost by the carrier and nobody takes responsibility. 15 days and counting!,high,escalated_to_manager
CMP-00053,ORD-00534,I've been waiting for order ORD-00534 refund for a week now. When will it be processed?,medium,partial_refund
CMP-00054,ORD-00126,Tracking for order ORD-00126 showed delivered but I found it at neighbor's place.,low,no_action
CMP-00055,ORD-00970,I've been waiting for order ORD-00970 refund for a week now. When will it be processed?,medium,partial_refund
CMP-00056,ORD-00347,Order ORD-00347 delivery was rescheduled twice without my consent. Very inconvenient.,medium,partial_refund
CMP-00057,ORD-00106,I received a wrong item in order ORD-00106. I ordered headphones but got a mouse. Need exchange.,medium,replacement_sent
CMP-00058,ORD-00598,The quality of the product in order ORD-00598 doesn't match the description. Want a return.,medium,partial_refund
CMP-00059,ORD-00056,Order ORD-00056: Allergic reaction from product that had wrong ingredients listed. Need compensation NOW.,high,refund_with_compensation
CMP-00060,ORD-00588,Tracking for order ORD-00588 showed delivered but I found it at neighbor's place.,low,coupon_issued
CMP-00061,ORD-00993,Order ORD-00993 product is DEFECTIVE and almost caused a safety hazard. This needs immediate attention.,high,refund_with_compensation
CMP-00062,ORD-00169,Order ORD-00169 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,partial_refund
CMP-00063,ORD-00260,"My order ORD-00260 worth $500+ has vanished. No tracking, no updates, no support. Considering legal action.",high,investigation_opened
CMP-00064,ORD-01036,I received a wrong item in order ORD-01036. I ordered headphones but got a mouse. Need exchange.,medium,exchange_initiated
CMP-00065,ORD-00158,I received a completely damaged product in order ORD-00158. Screen is cracked. DEMAND full refund.,high,full_refund
CMP-00066,ORD-00570,Order ORD-00570 arrived with missing parts. The charger was not included in the box.,medium,partial_refund
CMP-00067,ORD-00517,I received a wrong item in order ORD-00517. I ordered headphones but got a mouse. Need exchange.,medium,rescheduled_delivery
CMP-00068,ORD-00272,Order ORD-00272 was delivered to the right address but wrong apartment number initially.,low,no_action
CMP-00069,ORD-00576,The product from order ORD-00576 stopped working after 2 days. I want a replacement.,medium,rescheduled_delivery
CMP-00070,ORD-00564,The packaging for order ORD-00564 was slightly damaged but the product inside is okay.,low,coupon_issued
CMP-00071,ORD-00527,Order ORD-00527: Received used item sold as new. Battery is degraded. This is FRAUD. Refund immediately.,high,full_refund
CMP-00072,ORD-00030,I've been given the runaround for 2 weeks about order ORD-00030 refund. Filing complaint with consumer forum.,high,escalated_to_manager
CMP-00073,ORD-00229,I paid for express shipping on order ORD-00229 but it's being shipped standard. Need correction.,medium,replacement_sent
CMP-00074,ORD-00358,Order ORD-00358 product is DEFECTIVE and almost caused a safety hazard. This needs immediate attention.,high,investigation_opened
CMP-00075,ORD-00310,"Order ORD-00310: the box was a bit crushed but product is fine, thanks.",low,apology_email
CMP-00076,ORD-00915,I've been waiting for order ORD-00915 refund for a week now. When will it be processed?,medium,replacement_sent
CMP-00077,ORD-00758,Order ORD-00758 was supposed to arrive yesterday but came today. Minor inconvenience.,low,apology_email
CMP-00078,ORD-00360,URGENT: Order ORD-00360 was supposed to be a gift. It's 2 weeks late and the occasion has passed. Full refund.,high,full_refund
CMP-00079,ORD-00536,"Minor issue with order ORD-00536 - the accessories were in a separate bag, initially thought missing.",low,apology_email
CMP-00080,ORD-00484,Order ORD-00484 arrived with missing parts. The charger was not included in the box.,medium,exchange_initiated
CMP-00081,ORD-00994,Product from ORD-00994 is good but took 1 extra day compared to the estimate.,low,coupon_issued
CMP-00082,ORD-00371,I've been given the runaround for 2 weeks about order ORD-00371 refund. Filing complaint with consumer forum.,high,investigation_opened
CMP-00083,ORD-01081,The product from order ORD-01081 works but the manual was missing. Can you send one?,low,coupon_issued
CMP-00084,ORD-00068,I received order ORD-00068 and the color is slightly different from the picture. Not a big deal.,low,apology_email
CMP-00085,ORD-00703,I need to cancel order ORD-00703 but the app won't let me. It hasn't shipped yet.,medium,rescheduled_delivery
CMP-00086,ORD-00173,The product from order ORD-00173 works but the manual was missing. Can you send one?,low,apology_email
CMP-00087,ORD-00298,The invoice for order ORD-00298 has a small typo in my name. Can you correct it?,low,coupon_issued
CMP-00088,ORD-00316,I've been given the runaround for 2 weeks about order ORD-00316 refund. Filing complaint with consumer forum.,high,escalated_to_manager
CMP-00089,ORD-01016,My order ORD-01016 was split into two shipments without notice. One part is still missing.,medium,partial_refund
CMP-00090,ORD-00846,"Order ORD-00846: the box was a bit crushed but product is fine, thanks.",low,apology_email
CMP-00091,ORD-00785,Order ORD-00785 arrived fine but the delivery person was a bit rude.,low,no_action
CMP-00092,ORD-00488,FRAUD ALERT: Order ORD-00488 was delivered to wrong address and signed by unknown person. Need investigation.,high,refund_with_compensation
CMP-00093,ORD-00902,My order ORD-00902 was split into two shipments without notice. One part is still missing.,medium,exchange_initiated
CMP-00094,ORD-00343,Product from ORD-00343 is good but took 1 extra day compared to the estimate.,low,no_action
CMP-00095,ORD-00432,Delivery for ORD-00432 was left at the doorstep without notification. Please improve this.,low,coupon_issued
CMP-00096,ORD-00707,"Order ORD-00707 is a SCAM - the product is counterfeit, not genuine. I want full refund and compensation.",high,full_refund
CMP-00097,ORD-00112,Order ORD-00112: product arrived but doesn't match the size specifications listed.,medium,rescheduled_delivery
CMP-00098,ORD-00542,The quality of the product in order ORD-00542 doesn't match the description. Want a return.,medium,partial_refund
CMP-00099,ORD-00238,Product from ORD-00238 is good but took 1 extra day compared to the estimate.,low,apology_email
CMP-00100,ORD-00108,I received a wrong item in order ORD-00108. I ordered headphones but got a mouse. Need exchange.,medium,rescheduled_delivery
CMP-00101,ORD-01151,I paid for express shipping on order ORD-01151 but it's being shipped standard. Need correction.,medium,exchange_initiated
CMP-00102,ORD-00951,Order ORD-00951: Received used item sold as new. Battery is degraded. This is FRAUD. Refund immediately.,high,investigation_opened
CMP-00103,ORD-00817,URGENT: Order ORD-00817 was supposed to be a gift. It's 2 weeks late and the occasion has passed. Full refund.,high,full_refund
CMP-00104,ORD-00976,My order ORD-00976 was split into two shipments without notice. One part is still missing.,medium,replacement_sent
CMP-00105,ORD-00618,I received a completely damaged product in order ORD-00618. Screen is cracked. DEMAND full refund.,high,full_refund
CMP-00106,ORD-01097,Order ORD-01097 arrived fine but the delivery person was a bit rude.,low,coupon_issued
CMP-00107,ORD-01091,Order ORD-01091 tracking was not updating for a day. It arrived though.,low,no_action
CMP-00108,ORD-00479,The invoice for order ORD-00479 has a small typo in my name. Can you correct it?,low,coupon_issued
CMP-00109,ORD-00778,Order ORD-00778 product is DEFECTIVE and almost caused a safety hazard. This needs immediate attention.,high,full_refund
CMP-00110,ORD-00799,I got order ORD-00799 a few hours after the estimated window. Not urgent but noting it.,low,coupon_issued
CMP-00111,ORD-00972,"EXTREMELY DISAPPOINTED with order ORD-00972. Wrong product, damaged box, late delivery. Want to speak to manager.",high,escalated_to_manager
CMP-00112,ORD-00538,I received a completely damaged product in order ORD-00538. Screen is cracked. DEMAND full refund.,high,full_refund
CMP-00113,ORD-01114,Order ORD-01114 has been stuck in transit for 5 days. No tracking updates. Very frustrating.,medium,rescheduled_delivery
CMP-00114,ORD-01087,URGENT: Order ORD-01087 was supposed to be a gift. It's 2 weeks late and the occasion has passed. Full refund.,high,refund_with_compensation
CMP-00115,ORD-00891,Tracking for order ORD-00891 showed delivered but I found it at neighbor's place.,low,coupon_issued
CMP-00116,ORD-00025,Order ORD-00025 delivery was rescheduled twice without my consent. Very inconvenient.,medium,rescheduled_delivery
CMP-00117,ORD-00592,URGENT: Order ORD-00592 never arrived and I was charged twice! I need immediate refund for both charges.,high,escalated_to_manager
CMP-00118,ORD-00920,I've been waiting for order ORD-00920 refund for a week now. When will it be processed?,medium,exchange_initiated
CMP-00119,ORD-00783,Order ORD-00783: product arrived but doesn't match the size specifications listed.,medium,partial_refund
CMP-00120,ORD-00647,Order ORD-00647 tracking was not updating for a day. It arrived though.,low,coupon_issued
CMP-00121,ORD-00085,I received order ORD-00085 and the color is slightly different from the picture. Not a big deal.,low,coupon_issued
CMP-00122,ORD-00200,I need to cancel order ORD-00200 but the app won't let me. It hasn't shipped yet.,medium,replacement_sent
CMP-00123,ORD-00725,Order ORD-00725: product arrived but doesn't match the size specifications listed.,medium,replacement_sent
CMP-00124,ORD-00885,Order ORD-00885 tracking was not updating for a day. It arrived though.,low,no_action
CMP-00125,ORD-00559,Order ORD-00559 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,rescheduled_delivery
CMP-00126,ORD-00687,Order ORD-00687 arrived fine but the delivery person was a bit rude.,low,coupon_issued
CMP-00127,ORD-00554,I've been waiting for order ORD-00554 refund for a week now. When will it be processed?,medium,partial_refund
CMP-00128,ORD-00547,Order ORD-00547 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,replacement_sent
CMP-00129,ORD-00202,"Order ORD-00202: the box was a bit crushed but product is fine, thanks.",low,coupon_issued
CMP-00130,ORD-00523,I received order ORD-00523 and the color is slightly different from the picture. Not a big deal.,low,apology_email
CMP-00131,ORD-00802,Order ORD-00802 tracking was not updating for a day. It arrived though.,low,no_action
CMP-00132,ORD-00945,Order ORD-00945 was delivered but the seal was broken. I suspect it's a returned product.,medium,replacement_sent
CMP-00133,ORD-00496,Product from ORD-00496 is good but took 1 extra day compared to the estimate.,low,apology_email
CMP-00134,ORD-00400,URGENT: Order ORD-00400 never arrived and I was charged twice! I need immediate refund for both charges.,high,escalated_to_manager
CMP-00135,ORD-01065,Product from ORD-01065 is good but took 1 extra day compared to the estimate.,low,coupon_issued
CMP-00136,ORD-00692,Order ORD-00692 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,exchange_initiated
CMP-00137,ORD-00369,Delivery for ORD-00369 was left at the doorstep without notification. Please improve this.,low,no_action
CMP-00138,ORD-00642,Order ORD-00642 was delivered to the right address but wrong apartment number initially.,low,no_action
CMP-00139,ORD-00022,Order ORD-00022 delivered broken product. Customer service hung up on me TWICE. Absolutely furious.,high,full_refund
CMP-00140,ORD-00018,Order ORD-00018 - I've called 5 times about my missing package. Each time told to wait. I want my money back NOW.,high,escalated_to_manager
CMP-00141,ORD-00140,Order ORD-00140 was supposed to arrive yesterday but came today. Minor inconvenience.,low,no_action
CMP-00142,ORD-01085,"Order ORD-01085: the box was a bit crushed but product is fine, thanks.",low,coupon_issued
CMP-00143,ORD-00843,Order ORD-00843 has been lost by the carrier and nobody takes responsibility. 15 days and counting!,high,refund_with_compensation
CMP-00144,ORD-00201,I need to cancel order ORD-00201 but the app won't let me. It hasn't shipped yet.,medium,partial_refund
CMP-00145,ORD-00213,I received a wrong item in order ORD-00213. I ordered headphones but got a mouse. Need exchange.,medium,replacement_sent
CMP-00146,ORD-00914,Order ORD-00914 delivered broken product. Customer service hung up on me TWICE. Absolutely furious.,high,full_refund
CMP-00147,ORD-00720,My order ORD-00720 was split into two shipments without notice. One part is still missing.,medium,partial_refund
CMP-00148,ORD-00450,I received a completely damaged product in order ORD-00450. Screen is cracked. DEMAND full refund.,high,full_refund
CMP-00149,ORD-00581,Order ORD-00581 is 10 days late and nobody from support is helping. This is unacceptable! Escalate NOW.,high,escalated_to_manager
CMP-00150,ORD-00516,URGENT: Order ORD-00516 was supposed to be a gift. It's 2 weeks late and the occasion has passed. Full refund.,high,investigation_opened
CMP-00151,ORD-00396,I paid for express shipping on order ORD-00396 but it's being shipped standard. Need correction.,medium,partial_refund
CMP-00152,ORD-00070,I received a wrong item in order ORD-00070. I ordered headphones but got a mouse. Need exchange.,medium,partial_refund
CMP-00153,ORD-00049,I've been given the runaround for 2 weeks about order ORD-00049 refund. Filing complaint with consumer forum.,high,investigation_opened
CMP-00154,ORD-00189,I received order ORD-00189 and the color is slightly different from the picture. Not a big deal.,low,apology_email
CMP-00155,ORD-00117,Order ORD-00117 was supposed to arrive yesterday but came today. Minor inconvenience.,low,no_action
CMP-00156,ORD-00445,Order ORD-00445 delivery was rescheduled twice without my consent. Very inconvenient.,medium,partial_refund
CMP-00157,ORD-00250,I've been waiting for order ORD-00250 refund for a week now. When will it be processed?,medium,rescheduled_delivery
CMP-00158,ORD-00246,Order ORD-00246 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,replacement_sent
CMP-00159,ORD-00177,I received a wrong item in order ORD-00177. I ordered headphones but got a mouse. Need exchange.,medium,exchange_initiated
CMP-00160,ORD-00267,The product from order ORD-00267 works but the manual was missing. Can you send one?,low,coupon_issued
CMP-00161,ORD-00770,I need to cancel order ORD-00770 but the app won't let me. It hasn't shipped yet.,medium,exchange_initiated
CMP-00162,ORD-00379,The invoice for order ORD-00379 has a small typo in my name. Can you correct it?,low,apology_email
CMP-00163,ORD-00228,I've been given the runaround for 2 weeks about order ORD-00228 refund. Filing complaint with consumer forum.,high,escalated_to_manager
CMP-00164,ORD-00378,Order ORD-00378: Allergic reaction from product that had wrong ingredients listed. Need compensation NOW.,high,investigation_opened
CMP-00165,ORD-00519,Order ORD-00519 product is DEFECTIVE and almost caused a safety hazard. This needs immediate attention.,high,escalated_to_manager
CMP-00166,ORD-01153,Order ORD-01153 was delivered to the right address but wrong apartment number initially.,low,apology_email
CMP-00167,ORD-00957,Order ORD-00957 arrived with missing parts. The charger was not included in the box.,medium,exchange_initiated
CMP-00168,ORD-00156,Order ORD-00156 product has a scratch on the screen. It's supposed to be brand new.,medium,replacement_sent
CMP-00169,ORD-00929,The invoice for order ORD-00929 has a small typo in my name. Can you correct it?,low,apology_email
CMP-00170,ORD-00567,I received a wrong item in order ORD-00567. I ordered headphones but got a mouse. Need exchange.,medium,partial_refund
CMP-00171,ORD-00875,I received order ORD-00875 and the color is slightly different from the picture. Not a big deal.,low,apology_email
CMP-00172,ORD-00663,"Order ORD-00663: the box was a bit crushed but product is fine, thanks.",low,apology_email
CMP-00173,ORD-00528,"Order ORD-00528: the box was a bit crushed but product is fine, thanks.",low,apology_email
CMP-00174,ORD-00332,Order ORD-00332 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,rescheduled_delivery
CMP-00175,ORD-00152,Order ORD-00152 delivered broken product. Customer service hung up on me TWICE. Absolutely furious.,high,investigation_opened
CMP-00176,ORD-00568,Order ORD-00568 product has a scratch on the screen. It's supposed to be brand new.,medium,exchange_initiated
CMP-00177,ORD-00128,"EXTREMELY DISAPPOINTED with order ORD-00128. Wrong product, damaged box, late delivery. Want to speak to manager.",high,refund_with_compensation
CMP-00178,ORD-00392,Order ORD-00392 arrived fine but the delivery person was a bit rude.,low,no_action
CMP-00179,ORD-00398,Order ORD-00398 arrived fine but the delivery person was a bit rude.,low,apology_email
CMP-00180,ORD-00341,Order ORD-00341 tracking was not updating for a day. It arrived though.,low,no_action
CMP-00181,ORD-01020,My order ORD-01020 arrived a day late but everything looks fine. Just wanted to let you know.,low,no_action
CMP-00182,ORD-00062,Order ORD-00062 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,partial_refund
CMP-00183,ORD-00265,Order ORD-00265 product has a scratch on the screen. It's supposed to be brand new.,medium,rescheduled_delivery
CMP-00184,ORD-00979,The product from order ORD-00979 works but the manual was missing. Can you send one?,low,coupon_issued
CMP-00185,ORD-00833,The packaging for order ORD-00833 was slightly damaged but the product inside is okay.,low,coupon_issued
CMP-00186,ORD-01133,Order ORD-01133 delivered broken product. Customer service hung up on me TWICE. Absolutely furious.,high,investigation_opened
CMP-00187,ORD-00183,Order ORD-00183 - I've called 5 times about my missing package. Each time told to wait. I want my money back NOW.,high,refund_with_compensation
CMP-00188,ORD-00452,The quality of the product in order ORD-00452 doesn't match the description. Want a return.,medium,rescheduled_delivery
CMP-00189,ORD-00072,Order ORD-00072 was delivered but the seal was broken. I suspect it's a returned product.,medium,replacement_sent
CMP-00190,ORD-00504,URGENT: Order ORD-00504 never arrived and I was charged twice! I need immediate refund for both charges.,high,investigation_opened
CMP-00191,ORD-01003,Order ORD-01003 is 10 days late and nobody from support is helping. This is unacceptable! Escalate NOW.,high,investigation_opened
CMP-00192,ORD-01099,I need to cancel order ORD-01099 but the app won't let me. It hasn't shipped yet.,medium,exchange_initiated
CMP-00193,ORD-00206,Order ORD-00206 is delayed by 3 days now. I need it for an event this weekend. Please expedite.,medium,replacement_sent
CMP-00194,ORD-00625,Order ORD-00625 was delivered to the right address but wrong apartment number initially.,low,apology_email
CMP-00195,ORD-00403,I received a completely damaged product in order ORD-00403. Screen is cracked. DEMAND full refund.,high,investigation_opened
CMP-00196,ORD-01014,Order ORD-01014 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,exchange_initiated
CMP-00197,ORD-00661,I received a wrong item in order ORD-00661. I ordered headphones but got a mouse. Need exchange.,medium,exchange_initiated
CMP-00198,ORD-01011,Order ORD-01011 product has a scratch on the screen. It's supposed to be brand new.,medium,exchange_initiated
CMP-00199,ORD-01104,I need to cancel order ORD-01104 but the app won't let me. It hasn't shipped yet.,medium,partial_refund
CMP-00200,ORD-00148,Order ORD-00148 arrived with missing parts. The charger was not included in the box.,medium,rescheduled_delivery
CMP-00201,ORD-01074,Order ORD-01074 arrived with missing parts. The charger was not included in the box.,medium,rescheduled_delivery
CMP-00202,ORD-01200,FRAUD ALERT: Order ORD-01200 was delivered to wrong address and signed by unknown person. Need investigation.,high,refund_with_compensation
CMP-00203,ORD-00442,The product from order ORD-00442 works but the manual was missing. Can you send one?,low,no_action
CMP-00204,ORD-00224,Order ORD-00224 was supposed to arrive yesterday but came today. Minor inconvenience.,low,apology_email
CMP-00205,ORD-00629,Order ORD-00629 has been lost by the carrier and nobody takes responsibility. 15 days and counting!,high,full_refund
CMP-00206,ORD-00659,Order ORD-00659: Received used item sold as new. Battery is degraded. This is FRAUD. Refund immediately.,high,refund_with_compensation
CMP-00207,ORD-01183,Order ORD-01183 arrived with missing parts. The charger was not included in the box.,medium,rescheduled_delivery
CMP-00208,ORD-00935,I've been given the runaround for 2 weeks about order ORD-00935 refund. Filing complaint with consumer forum.,high,refund_with_compensation
CMP-00209,ORD-00453,I received order ORD-00453 and the color is slightly different from the picture. Not a big deal.,low,no_action
CMP-00210,ORD-00733,Delivery for ORD-00733 was left at the doorstep without notification. Please improve this.,low,coupon_issued
CMP-00211,ORD-00266,Tracking for order ORD-00266 showed delivered but I found it at neighbor's place.,low,no_action
CMP-00212,ORD-01144,Order ORD-01144 is 10 days late and nobody from support is helping. This is unacceptable! Escalate NOW.,high,refund_with_compensation
CMP-00213,ORD-00036,I got order ORD-00036 a few hours after the estimated window. Not urgent but noting it.,low,apology_email
CMP-00214,ORD-00075,Order ORD-00075 was delivered to the right address but wrong apartment number initially.,low,apology_email
CMP-00215,ORD-01150,Order ORD-01150: product arrived but doesn't match the size specifications listed.,medium,exchange_initiated
CMP-00216,ORD-00586,Tracking for order ORD-00586 showed delivered but I found it at neighbor's place.,low,apology_email
CMP-00217,ORD-00746,I've been waiting for order ORD-00746 refund for a week now. When will it be processed?,medium,exchange_initiated
CMP-00218,ORD-00257,I've been waiting for order ORD-00257 refund for a week now. When will it be processed?,medium,replacement_sent
CMP-00219,ORD-00796,Order ORD-00796 is 10 days late and nobody from support is helping. This is unacceptable! Escalate NOW.,high,escalated_to_manager
CMP-00220,ORD-00457,Order ORD-00457 delivery was rescheduled twice without my consent. Very inconvenient.,medium,rescheduled_delivery
CMP-00221,ORD-00020,Delivery for ORD-00020 was left at the doorstep without notification. Please improve this.,low,apology_email
CMP-00222,ORD-00919,Order ORD-00919 - I've called 5 times about my missing package. Each time told to wait. I want my money back NOW.,high,investigation_opened
CMP-00223,ORD-00510,Order ORD-00510 was delivered but the seal was broken. I suspect it's a returned product.,medium,replacement_sent
CMP-00224,ORD-00153,"EXTREMELY DISAPPOINTED with order ORD-00153. Wrong product, damaged box, late delivery. Want to speak to manager.",high,escalated_to_manager
CMP-00225,ORD-00669,My order ORD-00669 arrived a day late but everything looks fine. Just wanted to let you know.,low,apology_email
CMP-00226,ORD-00656,I've been given the runaround for 2 weeks about order ORD-00656 refund. Filing complaint with consumer forum.,high,escalated_to_manager
CMP-00227,ORD-00001,I received a wrong item in order ORD-00001. I ordered headphones but got a mouse. Need exchange.,medium,replacement_sent
CMP-00228,ORD-00956,Order ORD-00956 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,replacement_sent
CMP-00229,ORD-00039,Order ORD-00039 delivery was rescheduled twice without my consent. Very inconvenient.,medium,exchange_initiated
CMP-00230,ORD-00681,I've been waiting for order ORD-00681 refund for a week now. When will it be processed?,medium,replacement_sent
CMP-00231,ORD-01067,Order ORD-01067 was marked delivered but I haven't received it. Delivery agent marked wrong.,medium,rescheduled_delivery
CMP-00232,ORD-00273,Order ORD-00273 delivery was rescheduled twice without my consent. Very inconvenient.,medium,rescheduled_delivery
CMP-00233,ORD-01033,The invoice for order ORD-01033 has a small typo in my name. Can you correct it?,low,apology_email
CMP-00234,ORD-00717,The quality of the product in order ORD-00717 doesn't match the description. Want a return.,medium,partial_refund
CMP-00235,ORD-00338,Order ORD-00338: Received used item sold as new. Battery is degraded. This is FRAUD. Refund immediately.,high,escalated_to_manager
CMP-00236,ORD-00927,The product from order ORD-00927 stopped working after 2 days. I want a replacement.,medium,exchange_initiated
CMP-00237,ORD-00401,Order ORD-00401 was delivered to the right address but wrong apartment number initially.,low,coupon_issued
CMP-00238,ORD-00589,URGENT: Order ORD-00589 was supposed to be a gift. It's 2 weeks late and the occasion has passed. Full refund.,high,investigation_opened
CMP-00239,ORD-00004,"My order ORD-00004 worth $500+ has vanished. No tracking, no updates, no support. Considering legal action.",high,full_refund
CMP-00240,ORD-01191,I've been waiting for order ORD-01191 refund for a week now. When will it be processed?,medium,exchange_initiated
CMP-00241,ORD-01078,Order ORD-01078 tracking was not updating for a day. It arrived though.,low,coupon_issued
